新闻频道,#genre#
CCTV-13,http://www.dszbdq.cn/diao/ysp.php?tv=0204603#http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
BBC,p2p://lino.homeunix.com:6007/59fd16bc000f2550026d4d870b85516d.ts#p2p://sdgdklwos.finetv.tv:9906/59fd16bc000f2550026d4d870b85516d
TVBS,p2p://lino.homeunix.com:6007/59fd20d3000f24fd0294b75f4a555e2a.ts#p2p://sdgdklwos.finetv.tv:9906/59fd096d0003aa9702394e013b6206a2
CGTN,http://live.cgtn.com/1000/prog_index.m3u8
凤凰资讯,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8
TBSニュースバード,p2p://42.116.8.235:9906/58a5394d0008eaaf002b3d3b91fd3936.ts
Japan News 24,http://www.news24.jp/livestream/index.m3u8
NHK World,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp/index_1M.m3u8
Россия 1,http://a787201928-s26881.cdn.ngenix.net/hls/russia_hd/playlist_3.m3u8
RTE News,https://live.rte.ie/live/a/channel3/news.isml/news-audio_128k=128000-video=4499968.m3u8
News Center 7 (Ohio),http://svc-lvanvato-cxtv-whio.cmgvideo.com/whio/2596k/index.m3u8

国内频道V1,#genre#
CCTV1,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV2,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV3,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV4,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV5,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV5+,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV6,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5CA2B7CAU3090C010K77540044IFB84556FPBM3220A5DV1044EZ33519WE22942B42A1&playtoken=ABCDEFGHI&programid=4200000136.m3u8
CCTV7,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV8,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV9,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV10,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV11,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV12,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV13,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV14少儿,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV15音乐,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV17,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000204203.m3u8
CCTV4k,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000266303.m3u8
湖南卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000296203.m3u8
浙江卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000295503.m3u8
江苏卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000295603.m3u8
北京卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000272103.m3u8
东方卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000292403.m3u8
