大陆全网,#genre#
cctv-2高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225934/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
cctv-4高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226156/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8
cctv-5+高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225938/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8
cctv-5高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226256/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226257/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226258/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226259/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226260/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226261/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226340/1.m3u8
cctv-7高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225863/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
cctv-9高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225865/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
cctv-10高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225868/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8
cctv-11高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225869/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8
cctv-12高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225870/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8
cctv-13,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226159/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226159/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226339/1.m3u8
cctv-14高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225872/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225928/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
cctv-15高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225940/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226317/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8
cctv-17高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
cctv-电视指南,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225729/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225729/1.m3u8
CETV1,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225905/1.m3u8
CGTN,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225866/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225867/1.m3u8
kaku少儿,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225907/1.m3u8
Newtv-中国功夫,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226321/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225951/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226298/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226321/1.m3u8
Newtv-古装剧场,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226323/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226300/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226323/1.m3u8
Newtv-动作电影,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225915/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226288/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226329/1.m3u8
Newtv-军事评论,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226326/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225926/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226303/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226326/1.m3u8
Newtv-军旅剧场,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226324/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226301/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226324/1.m3u8
Newtv-农业致富,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225930/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226304/1.m3u8
Newtv-明星大片,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225929/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226295/1.m3u8
Newtv-金牌综艺,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225920/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226296/1.m3u8
Newtv-故障剧场,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225916/1.m3u8
Newtv-炫舞未来,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226248/1.m3u8
Newtv-健康有约,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225919/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226306/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226327/1.m3u8
